"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
"El Salvador","253","Trade Tax Revenue in Percent of GDP","RTT_RM_GDP","Source Coverage and Accounting Basis",,,,,,,,,,,,"GFS14 | Central | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash",,,
"Guatemala","258","Trade Tax Revenue in Percent of GDP","RTT_RM_GDP","Value","1.57503712177277","1.44171011447906","2.18797612190247","1.82399415969849","1.67788565158844","2.03778028488159","1.64423298835754","1.4932553768158","1.42903900146484","1.41512274742126","1.28450036048889","1.277468085289","1.32061064243317","1.3012433052063","1.22289896011353","1.72663724422455","1.17875218391418","1.07241237163544","0.872443199157715","0.762764036655426","0.775063931941986","0.745116412639618","0.650242626667023","0.529535531997681","0.509981870651245","0.50562709569931","0.515023052692413","0.433286070823669","0.521431505680084","0.512002289295197","0.431433826684952",,
"Guatemala","258","Trade Tax Revenue in Percent of GDP","RTT_RM_GDP","Source Coverage and Accounting Basis","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash",,
"Honduras","268","Trade Tax Revenue in Percent of GDP","RTT_RM_GDP","Value","4.17186880111694","4.14507293701172","3.7140634059906","3.41789698600769","3.28037095069885","3.13404321670532","2.91970324516296","2.85795640945435","2.45336437225342","2.14388155937195","1.9580100774765","2.06737613677979","1.67380726337433","1.2831734418869","1.2083648443222","1.18554055690765","1.14058995246887","1.23256254196167","1.13373029232025","0.749223053455353","0.83702540397644","0.783875226974487","0.811543345451355","0.70407372713089","0.717225611209869","0.769116759300232","0.843362867832184","0.824687719345093","0.82159149646759","0.761306464672089",,,
"Honduras","268","Trade Tax Revenue in Percent of GDP","RTT_RM_GDP","Source Coverage and Accounting Basis","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | General | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash","GFS14 | Budgetary | Accrual/Cash",,,
"Poland","964","Goods and Services Tax Revenue in Percent of GDP","RTGS_RM_GDP","Value",,"6.85546922683716","8.23652458190918","10.4175357818604","9.85805988311768","10.3402309417725","11.0551824569702","11.3620443344116","11.068962097168","11.6092691421509","10.934383392334","11.0002202987671","11.6997489929199","11.7520818710327","11.938063621521","12.5114841461182","12.7719316482544","13.0501861572266","13.1968593597412","11.7283573150635","12.5233268737793","12.6310091018677","11.8389196395874","11.6473073959351","11.719310760498","11.7338066101074","12.201319694519","12.5857667922974","12.8852186203003","12.6321353912354",,,
"Poland","964","Goods and Services Tax Revenue in Percent of GDP","RTGS_RM_GDP","Source Coverage and Accounting Basis",,"OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General",,,
"United States","111","Goods and Services Tax Revenue in Percent of GDP","RTGS_RM_GDP","Value","4.25633096694946","4.42847108840942","4.44113540649414","4.44415903091431","4.57902193069458","4.51944637298584","4.43567752838135","4.41026496887207","4.39389276504517","4.37167882919312","4.32038688659668","4.24037504196167","4.20029354095459","4.19006109237671","4.24980020523071","4.29909753799438","4.28411436080933","4.17237949371338","4.12615728378296","3.97981309890747","4.03167581558228","4.12722730636597","4.11882019042969","4.18557167053223","4.19733285903931","4.14169979095459","4.11810874938965","4.09564828872681","4.1490273475647","4.01736307144165",,,
"United States","111","Goods and Services Tax Revenue in Percent of GDP","RTGS_RM_GDP","Source Coverage and Accounting Basis","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General",,,
"United Kingdom","112","Goods and Services Tax Revenue in Percent of GDP","RTGS_RM_GDP","Value","9.89275169372559","10.2329444885254","10.4354553222656","10.2214956283569","10.4800615310669","10.0639743804932","10.1226215362549","10.1691617965698","10.3399658203125","10.5727138519287","10.3751258850098","10.1925115585327","10.2351579666138","10.2624769210815","10.2418365478516","9.81243896484375","9.62971210479736","9.59093475341797","9.4441499710083","9.067795753479","9.95338153839111","10.8125152587891","10.7000360488892","10.6610774993896","10.6171312332153","10.656210899353","10.6113567352295","10.5478792190552","10.5811862945557","10.5673360824585",,,
"United Kingdom","112","Goods and Services Tax Revenue in Percent of GDP","RTGS_RM_GDP","Source Coverage and Accounting Basis","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General",,,
"Austria","122","Goods and Services Tax Revenue in Percent of GDP","RTGS_RM_GDP","Value","11.8911428451538","11.6968955993652","11.9767198562622","11.7678365707397","12.4640731811523","11.8067636489868","12.2415590286255","12.478196144104","12.4141893386841","12.534068107605","12.2400465011597","12.2316827774048","12.3698291778564","12.2356462478638","12.1295022964478","11.8978967666626","11.4651012420654","11.3456115722656","11.3852300643921","11.6878318786621","11.6257247924805","11.7619323730469","11.8884840011597","11.8467416763306","11.7906942367554","11.8073682785034","11.7885103225708","11.7833375930786","11.5765495300293","11.5816593170166",,,
"Austria","122","Goods and Services Tax Revenue in Percent of GDP","RTGS_RM_GDP","Source Coverage and Accounting Basis","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General",,,
"Belgium","124","Goods and Services Tax Revenue in Percent of GDP","RTGS_RM_GDP","Value","10.3183584213257","10.2499723434448","10.2436943054199","10.3671922683716","10.631495475769","10.4316091537476","10.7603302001953","10.8159027099609","10.6857080459595","11.1198329925537","10.9700031280518","10.5460538864136","10.6499071121216","10.5701560974121","10.7814950942993","10.8540706634521","10.783896446228","10.7088985443115","10.6304006576538","10.642596244812","10.8593349456787","10.7943820953369","11.101996421814","10.9052886962891","10.7106075286865","10.5252103805542","10.6195907592773","10.6279716491699","10.6955251693726","10.6009607315063",,,
"Belgium","124","Goods and Services Tax Revenue in Percent of GDP","RTGS_RM_GDP","Source Coverage and Accounting Basis","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General","OECD | General",,,
