"","country","year","log_GDP_pc","sum_ntl_built","sum_ntl","sum_gap","sum_np_str","rev_forgone","rev_forgone_built","rev_forgone_str"
"67","ECU",2014,8.59639831383201,1874038667.57076,1936686973.69788,311803622.90139,2185842290.47215,13.8672415785495,14.2646898296601,14.2646898296601
"68","ECU",2015,8.58120766672992,1588910743.20765,1721278179.20863,214452833.239207,1803363576.44686,11.0786484206821,11.8918245904545,11.8918245904545
"69","ECU",2016,8.55179919685039,1475427371.13059,1608945140.85485,177623626.794383,1653050997.92497,9.94216567594545,10.745199453456,10.745199453456
"70","ECU",2017,8.5575215639976,1501468875.58311,1613985537.506,455821708.345757,1957290583.92887,22.0224230666551,23.2884024522709,23.2884024522709
"71","ECU",2018,8.55267596518272,1658552874.76769,1811770534.90803,659197284.314746,2317750159.08244,26.6776960503715,28.4412572136642,28.4412572136642
"72","ECU",2019,8.53642087745192,1569054436.8723,1751988684.41787,336527874.201879,1905582311.07418,16.1132490337679,17.6601069524085,17.6601069524085
"73","HND",2014,7.61372697023222,5799155174.85476,7664889614.02684,5639287192.10118,11438442366.9559,42.3873440219441,49.3011811502613,49.3011811502613
"74","HND",2015,7.63399386612621,8128528890.52128,10310108194.894,5817240808.36272,13945769698.884,36.0706574105143,41.7133004055577,41.7133004055577
"75","HND",2016,7.65500854734271,9142394175.8749,11398740445.8455,7195104030.19413,16337498206.069,38.6961611917637,44.0404273618913,44.0404273618913
"76","HND",2017,7.68537924451531,9831557258.61244,12665532821.7961,5036146232.35989,14867703490.9723,28.4501047440327,33.8730607280259,33.8730607280259
"77","HND",2018,7.70500859970368,11309884668.2047,13896249653.5896,6827222275.86219,18137106944.0669,32.9443941589704,37.6422893514203,37.6422893514203
"78","HND",2019,7.71478396767399,9852621192.50986,11914534481.1071,6890687332.95701,16743308525.4669,36.6424145436221,41.1548728405509,41.1548728405509
"79","RWA",2010,6.41729372463116,20483584361.134,23633811172.684,12057312847.016,32540897208.15,33.7823847754441,37.0527978066818,37.0527978066818
"80","RWA",2011,6.46888411048419,25450278186.8388,28572415538.6388,15042654543.5052,40492932730.344,34.4895801271764,37.1488393880465,37.1488393880465
"81","RWA",2012,6.52716862469336,34312841579.667,36509883829.758,13772848568.433,48085690148.1,27.3908117390385,28.6423019530628,28.6423019530628
"82","RWA",2013,6.54876815889152,29942678672.1503,33399443136.1813,15605048244.1297,45547726916.28,31.8441183748302,34.2608716189348,34.2608716189348
"83","RWA",2014,6.58373031583172,33168983201.6872,43258684876.4392,22155019714.4828,55324002916.17,33.8690796569828,40.0459448822843,40.0459448822843
"84","RWA",2015,6.64327221023916,41065533010.9857,46132734047.4287,34179506265.5643,75245039276.55,42.5582777075572,45.4242652993289,45.4242652993289
"85","RWA",2016,6.67534552005917,41810745351.5857,46257435707.4957,25333089147.1643,67143834498.75,35.3860922218331,37.7295835668068,37.7295835668068
"86","RWA",2017,6.6880425272082,50558807897.7784,63295135090.6324,38630973203.0216,89189781100.8,37.9009596753404,43.3132279575413,43.3132279575413
"87","UGA",2015,6.8028268758968,718200247486.501,813385696151,875279172820.198,1593479420306.71,51.8326157488817,54.9288030749548,54.9288030749546
"88","UGA",2016,6.81300270733373,733082573516.5,821029664057,892041925404.802,1625124498921.3,52.0726588948367,54.8906822829209,54.890682282921
"89","UGA",2017,6.81374098953622,890443858055,992103452029,1101794024302,1992237882357,52.6192918591506,55.3043406141076,55.3043406141075
"90","UGA",2018,6.83625797412924,1047024919135.2,1115634866271,1210692594358.2,2257717513493.4,52.0430857154885,53.6246269571996,53.6246269571998
"91","UGA",2019,6.8637443095389,178661749011.3,188204158882,223832057450.999,402493806462.302,54.3233940557552,55.6113047846278,55.6113047846275
"92","SWZ",2013,8.4274900672556,917673635.419062,988683068.641456,1213481589.54084,2131155224.9599,55.1040352514996,56.9400846699785,56.9400846699785
"93","SWZ",2014,8.42908052985902,827577868.814838,899026133.347122,1290484055.08787,2118061923.90271,58.9393948429295,60.9275885905188,60.9275885905188
"94","SWZ",2015,8.44373560196556,1007674934.11072,1070821024.56378,471768807.501097,1479443741.61182,30.5829065960844,31.8882559864774,31.8882559864774
"95","SWZ",2016,8.44737583706285,1113420706.93328,1173998985.04396,448414898.064138,1561835604.99742,27.638748825614,28.7107616595076,28.7107616595076
"96","SWZ",2017,8.4578024909413,1216957915.26721,1286623638.07616,524320897.567903,1741278812.83511,28.9528965270838,30.1112546539411,30.1112546539411
"97","SWZ",2018,8.4709224993901,716449939.965554,762299971.303774,508487729.490276,1224937669.45583,40.0135859965082,41.5113145892695,41.5113145892695
"98","ETH",2010,5.83350612884406,9805175978.89285,9863851721.20888,312388285.242019,10117564264.1349,3.06978102957468,3.08758389951013,3.08758389951013
"99","ETH",2011,5.91134502435452,14024730593.1859,14129360040.2164,307788150.104323,14332518743.2903,2.1319179248342,2.14748123213454,2.14748123213454
"100","ETH",2012,5.96599023129142,16798725120.4992,16910936215.493,272218551.677553,17070943672.1767,1.58421753959665,1.5946309524835,1.5946309524835
"101","ETH",2013,6.03830963095728,17536580247.6944,17641846635.9181,250117303.598509,17786697551.2929,1.39793096187777,1.40620428765501,1.40620428765501
"102","ETH",2014,6.10795870173423,21802971682.0353,21913352343.1546,351797180.921139,22154768862.9564,1.5800351151504,1.58790724966378,1.58790724966378
"103","ETH",2015,6.17926909963598,26057823985.1303,26160337697.3676,695139256.68027,26752963241.8106,2.58844502322456,2.59836359208941,2.59836359208941
"104","ETH",2016,6.2423347509758,25369355796.2523,25456009994.9539,569370120.336288,25938725916.5886,2.18774948843793,2.19505816194371,2.19505816194371
